iso3,country,gdp_usd,ag_land_usd,urban_land_usd,urban_pred_free,total_land_usd,total_free_usd,ag_source,reported_land_usd,reported_urban_land_usd
PHL,Philippines,361751145451.597,426006608017.563,696086037479.6837,568591203715.4708,1122092645497.2466,994597811733.0338,cwon,,
SWE,Sweden,544265668451.678,27587887428.3713,1047282744649.8064,953163278678.4028,1074870632078.1777,980751166106.7742,cwon,1170631622319.0398,1143043734890.6685
BEL,Belgium,529694473501.791,19470151381.90419,1019244670737.5625,921004272657.2767,1038714822119.4667,940474424039.1809,cwon,,
IRN,"Iran, Islamic Rep.",280934329279.723,435956607697.962,540577318189.86224,412975812387.86945,976533925887.8242,848932420085.8314,cwon,,
ARG,Argentina,385740508436.965,168280534017.871,742246667050.8787,616691538555.6459,910527201068.7496,784972072573.5168,cwon,,
MYS,Malaysia,337456163961.211,259050129326.40802,649337332993.4175,520731971064.7698,908387462319.8254,779782100391.1777,cwon,,
AUT,Austria,434397601557.696,14965732013.65135,835873248670.705,716669561769.1421,850838980684.3563,731635293782.7935,cwon,950714504044.2354,935748772030.584
IRL,Ireland,436009027818.948,10984739753.95952,838973975053.9907,720033578648.4734,849958714807.9502,731018318402.4329,cwon,,
ZAF,South Africa,337974655408.055,189491228697.8547,650335020661.4142,521744086241.57214,839826249359.2689,711235314939.4269,cwon,,
ISR,Israel,410908899711.272,43278003489.9252,790675997468.0637,668014107730.8636,833954000957.9889,711292111220.7888,cwon,,
NOR,Norway,382252517921.94,14997334264.70014,735535032473.082,609647367221.1356,750532366737.7822,624644701485.8358,cwon,,
DNK,Denmark,355631021931.621,19762867180.946518,684309619952.137,556452401796.4236,704072487133.0835,576215268977.3701,cwon,,
ARE,United Arab Emirates,357161776271.328,12922070976.51531,687255116424.1697,559483389528.9738,700177187400.6849,572405460505.489,cwon,,
SGP,Singapore,351226533656.292,465986912.39796,675834449025.2499,547750538453.91986,676300435937.6478,548216525366.3178,cwon,,
HKG,"Hong Kong SAR, China",344943149590.058,,663743883531.2063,535386565738.21094,663743883531.2063,535386565738.21094,missing,,
NZL,New Zealand,213318129988.602,198078567824.6203,410469389505.25037,291534580668.6792,608547957329.8706,489613148493.2995,cwon,,
ROU,Romania,250624575871.819,120491522505.8688,482254915035.18524,357451452725.03455,602746437541.0541,477942975230.9033,cwon,,
COL,Colombia,270348342541.465,67456277357.6405,520207631309.5412,393393579647.9524,587663908667.1816,460849857005.5929,cwon,,
CHL,Chile,254103710483.324,52649493155.201706,488949508973.67206,363738727548.949,541599002128.8738,416388220704.1507,cwon,,
FIN,Finland,270000311606.226,19065032722.65004,519537945870.5955,392753180797.9329,538602978593.24554,411818213520.58295,cwon,228872114115.1718,209807081392.5218
CZE,Czechia,251109660602.536,38656483042.6325,483188321085.98065,358326689171.6655,521844804128.61316,396983172214.29803,cwon,238966792688.5751,200310309645.9426
ETH,Ethiopia,98676811061.9985,313603340274.973,189875142807.1663,109960634406.96722,503478483082.1393,423563974681.94025,cwon,,
PRT,Portugal,229618773422.577,21306533543.96691,441835289624.6823,319989822936.8954,463141823168.64923,341296356480.8623,cwon,,
PER,Peru,201409694755.934,44663344299.4402,387555030842.078,271105274095.29135,432218375141.5182,315768618394.73157,cwon,,
GRC,Greece,191362985554.861,53483899582.4563,368223028482.4025,254116135342.5799,421706928064.8588,307600034925.0362,cwon,,
IRQ,Iraq,180898797516.874,68630177151.56531,348087708170.6683,236670592803.4414,416717885322.2336,305300769955.0067,cwon,,
UKR,Ukraine,156617722013.342,112126177981.8063,301365761756.6518,197232204956.56622,413491939738.4581,309358382938.37256,cwon,,
MAR,Morocco,121353645057.144,174885447191.2697,233510187828.40582,142843044201.83087,408395635019.67554,317728491393.1006,cwon,,
KAZ,Kazakhstan,171082365861.423,34484094796.0838,329198808718.24817,220545888374.37866,363682903514.332,255029983170.46246,cwon,,
HUN,Hungary,158468487754.196,58378456917.9107,304927028132.8673,200184558884.11325,363305485050.778,258563015802.02396,cwon,,
KEN,Kenya,100657505750.545,149141542251.6713,193686420074.82007,112759548998.62964,342827962326.49133,261901091250.30093,cwon,,
TZA,Tanzania,66068737786.0639,209097572399.774,127130284077.95038,66205550688.46184,336227856477.72437,275303123088.23584,cwon,,
CIV,Cote d'Ivoire,63027852805.4204,206263473592.354,121278975510.66116,62375391372.95362,327542449103.01514,268638864965.30762,cwon,,
GHA,Ghana,70008243859.8666,190064360570.0195,134710730489.85367,71237188020.25392,324775091059.87317,261301548590.27344,cwon,,
DZA,Algeria,164873415325.201,,317251469145.1537,210471823887.00723,317251469145.1537,210471823887.00723,missing,,
QAT,Qatar,144411363351.648,1810891607.679872,277878135139.0016,177995401894.67245,279689026746.68146,179806293502.35233,cwon,,
LKA,Sri Lanka,84335574372.2997,88921034363.4599,162279557429.18878,90152162801.41167,251200591792.64868,179073197164.87158,cwon,,
NPL,Nepal,33433659301.2466,185847519933.3606,64333461591.11043,27974823490.577553,250180981524.471,213822343423.93814,cwon,,
CMR,Cameroon,40773241177.0505,148059020518.7445,78456376000.4295,35956503383.844604,226515396519.174,184015523902.5891,cwon,,
SDN,Sudan,27034593750.0,172936084712.69342,52020300349.894714,21383401252.39928,224956385062.58813,194319485965.0927,cwon,,
SVK,Slovak Republic,107732602896.441,16829558532.107159,207300409688.93042,122875295469.82939,224129968221.03757,139704854001.93655,cwon,118961862938.19595,102132304406.08879
KWT,Kuwait,111045470605.715,3197188031.06964,213675070793.49762,127673467736.16289,216872258824.56726,130870655767.23253,cwon,,
GTM,Guatemala,77719468248.3666,60237149946.628296,149548764028.09402,81302093503.60303,209785913974.72232,141539243450.23132,cwon,,
ECU,Ecuador,95865473000.0,25161792001.3251,184465531265.6482,106013464849.83026,209627323266.9733,131175256851.15536,cwon,,
CUB,Cuba,107352000000.0,,206568048878.55573,122326526729.80544,206568048878.55573,122326526729.80544,missing,,
AGO,Angola,58512033805.8981,91292462214.80011,112589580624.49199,56777731946.48506,203882042839.2921,148070194161.28516,cwon,,
DOM,Dominican Republic,78546672406.8291,50880687151.784195,151140480521.85126,82398060952.23184,202021167673.63544,133278748104.01604,cwon,,
PRI,Puerto Rico (US),103130900000.0,,198445755943.89896,116275199067.37514,198445755943.89896,116275199067.37514,missing,,
LAO,Lao PDR,18981805250.2424,151290152018.2833,36525024915.560936,13672067827.133804,187815176933.84424,164962219845.4171,cwon,,
KHM,Cambodia,34818073901.4851,118531642626.89609,66997369322.78056,29447824918.861767,185529011949.67664,147979467545.75784,cwon,,
UGA,Uganda,37600368241.6657,112511221606.0994,72351094574.82018,32454859486.439487,184862316180.91956,144966081092.53888,cwon,,
