iso3,name,value,value_share,area_share,error,area_km2,density
CZE,Czechia,521844804128.6131,0.0026244124614069092,0.0028998485388961066,0.1049515202124669,81207.28055015905,6426083.97416149
ETH,Ethiopia,503478483082.1393,0.0025320462992007866,0.0026341443796531255,0.04032235922564498,1132224.3050724354,444680.8647602108
PRT,Portugal,463141823168.6492,0.002329188989726827,0.002269921196990862,-0.02544567787215757,93403.38033518204,4958512.438271986
PER,Peru,432218375141.5182,0.002173671713881593,0.0023276730365746666,0.07084847344223322,1309423.5563996732,330082.9384266804
GRC,Greece,421706928064.8588,0.00212080853985523,0.0019591423677376985,-0.07622855579814247,131993.8100175237,3194899.276025689
IRQ,Iraq,416717885322.2336,0.00209571811864063,0.0021750914681562226,0.03787405797067667,437251.0029041015,953040.4334226964
UKR,Ukraine,413491939738.4581,0.0020794944986622385,0.0021887313455961907,0.05253048132814264,572536.719066237,722210.3420944449
MAR,Morocco,408395635019.67554,0.0020538646456766687,0.002164513872884905,0.05387367051726111,591815.7229044349,690072.2965172427
KAZ,Kazakhstan,363682903514.332,0.0018289996114408493,0.0020987185800754957,0.14746802948862703,2728284.445925376,133300.94816817332
HUN,Hungary,363305485050.778,0.0018271015342518466,0.0018554227357524822,0.015500617217877988,92486.56504760619,3928197.407523693
KEN,Kenya,342827962326.49133,0.0017241179165341236,0.0017501479804527952,0.015097612332106713,590536.4521122812,580536.4954190974
TZA,Tanzania,336227856477.72437,0.001690925289341002,0.0017926784482028865,0.06017602285760382,932728.8950751893,360477.58169925713
CIV,Cote d'Ivoire,327542449103.01514,0.001647245461226886,0.0016453172648728978,-0.0011705580008409822,329827.9706184335,993070.564903477
GHA,Ghana,324775091059.87317,0.0016333281262718626,0.001611652852661762,-0.013270617986341326,243463.63469681906,1333977.8298484283
DZA,Algeria,317251469145.1537,0.001595491039552422,0.001703510951863023,0.0677032397128996,2317706.8129332457,136881.6225481282
QAT,Qatar,279689026746.68146,0.0014065855620397358,0.0010772510698431115,-0.23413754632817751,11328.604724956982,24688744.425032757
LKA,Sri Lanka,251200591792.64868,0.0012633142233048633,0.0011806741839397237,-0.06541526869613723,65421.68894544533,3839714.2574861227
NPL,Nepal,250180981524.471,0.0012581864959184572,0.001453357454233067,0.15512084968940787,150727.49245093932,1659823.1514128258
CMR,Cameroon,226515396519.174,0.0011391697773404205,0.0012240243464936185,0.07448807968844195,460311.56332983106,492091.4757834727
SDN,Sudan,224956385062.58813,0.0011313293445876747,0.0013477184821797908,0.19126980010492112,1850024.0910328298,121596.46252876615
SVK,Slovak Republic,224129968221.03757,0.0011271732072837815,0.0011349285594922712,0.006880355351222667,47069.93380202484,4761637.633987835
KWT,Kuwait,216872258824.5673,0.0010906734226147129,0.000892665786605658,-0.181546218972095,16645.39464724136,13028964.67285079
GTM,Guatemala,209785913974.72232,0.0010550354482924155,0.0010121464585991266,-0.04065170489077419,109459.39648196143,1916563.7735751118
ECU,Ecuador,209627323266.9733,0.0010542378789262228,0.0010630441783923198,0.00835323757771489,250751.47110404097,835996.3845635642
CUB,Cuba,206568048878.55573,0.0010388524659369477,0.0010207987550496249,-0.017378512810324875,114877.64390914307,1798157.081302353
AGO,Angola,203882042839.2921,0.0010253442587744206,0.0010877351710512472,0.06084874591427614,1244949.5425927865,163767.31414726932
DOM,Dominican Republic,202021167673.63544,0.0010159857216476078,0.0009164875215143371,-0.09793267564027974,48158.388983722994,4194932.013650132
PRI,Puerto Rico (US),198445755943.89896,0.0009980045996282952,0.0007532522802967727,-0.24524167466029712,9223.895210217854,21514311.624450035
LAO,Lao PDR,187815176933.84424,0.0009445422985663067,0.0013167164769737727,0.3940259520112317,229051.2947886622,819969.9421351661
KHM,Cambodia,185529011949.67664,0.0009330449341663675,0.0010756101276942964,0.1527956353520148,182261.37006112284,1017928.3294504917
UGA,Uganda,184862316180.91956,0.0009296920509534839,0.0009331557667227742,0.0037256592284917733,245755.3967699768,752220.7797289912
TUN,Tunisia,174103081509.25946,0.0008755827270240138,0.0008580634638248026,-0.020008689822784365,156265.02233611268,1114152.6037399375
PNG,Papua New Guinea,173576464156.83368,0.0008729343129147516,0.0012159704050399424,0.39296896347192933,465924.6684780507,372541.9062352367
BGR,Bulgaria,171873357449.96234,0.0008643692099775242,0.0009243303484679668,0.06936982229156663,110208.69511491357,1559526.2902872737
