tile_x,tile_y,cells_per_side,value_usd,drawn_area
3432,2032,8,1056979680.0082395,1061617255.6796875
3440,2032,8,1033583324.495736,676323700.4414062
3448,2032,8,3753579353.636065,1454781152.4570312
3456,2032,8,1088562927.287199,516807928.890625
3464,2032,8,1350743854.690179,935804352.0
3472,2032,8,1597386121.2311475,1050166180.6054688
3480,2032,8,996870402.6535764,408091111.765625
3488,2032,8,1609845884.3260436,848482516.5585938
3496,2032,8,959627634.1053866,907736429.0351562
3504,2032,8,1020898531.8267844,839122411.671875
3512,2032,8,1949144286.7574737,1454087301.8183594
3520,2032,8,2420693765.406831,2145747682.9453125
3528,2032,8,2150218926.3302307,269809343.0
3536,2032,8,1605951337.517707,133620318.04882812
3544,2032,8,53213167.60042486,1819140483.8183594
4704,2032,8,67386985.443341,22393085.234375
4712,2032,8,173666007.68841213,20951910.890625
4720,2032,8,172657148.18845353,46653061.3125
4728,2032,8,172549604.08778325,96600159.25
4736,2032,8,174333545.46673703,123154483.5
4744,2032,8,174330485.06438044,141380866.984375
4752,2032,8,172909285.57656357,136384486.71875
4760,2032,8,173300635.11348346,124388275.78125
4768,2032,8,174197980.99516582,114354697.53125
4776,2032,8,173885169.16878477,137307727.28125
4784,2032,8,177283147.5613496,167844808.8125
4792,2032,8,173360626.53818074,112704766.15625
4800,2032,8,220038857.87997445,124075029.28125
4808,2032,8,172691300.86772457,111385006.484375
4816,2032,8,173304152.92385423,35696408.96875
4824,2032,8,172510682.73495296,157835480.6875
4832,2032,8,173397115.93948096,153353958.515625
4840,2032,8,172510682.73495296,48467018.46875
4848,2032,8,172510682.73495296,147582947.21875
4856,2032,8,172834151.4756867,23295522.421875
4864,2032,8,172510682.73495296,7862388.515625
4872,2032,8,172510682.73495296,13930360.28125
4880,2032,8,172510682.73495296,35930569.84375
4888,2032,8,172534609.2996136,36674759.8125
4896,2032,8,172510682.73495296,34136646.21875
4904,2032,8,172510682.73495296,36438079.9375
4912,2032,8,172510682.73495296,59586361.453125
4920,2032,8,172971154.0699525,70965592.21875
4928,2032,8,172510682.73495296,69191258.984375
4936,2032,8,177592128.78463975,309551619.5
4944,2032,8,172510682.73495296,180191938.203125
4952,2032,8,172510682.73495296,130127485.21875
4960,2032,8,172968796.9131756,122339117.796875
4968,2032,8,172551860.45324516,129781464.09375
4976,2032,8,203551690.8309544,140836659.90625
4984,2032,8,216182684.9634888,147882125.625
4992,2032,8,172823400.79516572,135827257.296875
5000,2032,8,172790391.6933738,130835003.953125
5008,2032,8,172725510.43901536,130815629.515625
5016,2032,8,172841445.17721906,128297670.015625
5024,2032,8,172634573.0925162,126290172.125
5032,2032,8,172510682.73495296,126823220.09375
5040,2032,8,172510682.73495296,127668626.1875
5048,2032,8,172510682.73495296,129352229.125
5056,2032,8,172510682.73495296,131363800.59375
5064,2032,8,172725497.27033806,133228191.515625
5072,2032,8,172510682.73495296,133191861.875
5080,2032,8,172598524.03686023,131455922.03125
5088,2032,8,172714070.07551175,128585253.96875
5096,2032,8,172628093.84009206,125405134.90625
5104,2032,8,172873518.72768947,124478999.15625
5112,2032,8,172814416.3032186,124540085.84375
5120,2032,8,172605844.15563264,127332839.09375
5128,2032,8,173001076.27245727,131541923.09375
5136,2032,8,173367554.9203929,131858842.5625
5144,2032,8,177219728.30082554,137524045.9375
5152,2032,8,175969722.9733308,131524322.84375
5160,2032,8,174756725.96291515,129520904.90625
5168,2032,8,178482995.86479527,123847936.6875
5176,2032,8,174299482.2735948,133225048.59375
5184,2032,8,175823851.4189754,130017798.96875
5192,2032,8,178504122.65211383,143631627.34375
5200,2032,8,181103221.507699,144536164.375
5208,2032,8,248797430.5492495,201035416.9375
5216,2032,8,192587980.70744336,145420641.0625
5224,2032,8,230719934.96396053,21127438.15625
5232,2032,8,524601155.2393439,39299480.203125
5240,2032,8,1807672229.4460354,1011341186.546875
5248,2032,8,689636706.2407466,1869506549.125
5256,2032,8,1198593053.3612297,2536935250.5
5264,2032,8,44523263392.1654,46400853421.421875
5272,2032,8,4568917805.948954,5972097907.625
1000,2040,8,6075295.289558185,3097900382.453125
2048,2040,8,71043260.02921411,1839216940.1875
2056,2040,8,5703028264.082542,640095073.6484375
2064,2040,8,259577458.87409067,1283884545.3828125
2072,2040,8,201207881.022937,457215265.1875
2080,2040,8,172693913.56574753,597243910.25
2088,2040,8,167442473.33345515,32433241.1171875
2096,2040,8,277415238.67950386,104948076.125
2104,2040,8,591255092.6321899,120742592.265625
2112,2040,8,183606413.02397084,252367832.296875
2120,2040,8,539872296.2428616,1347410441.6015625
2128,2040,8,3760339062.6964803,2747260337.5703125
2136,2040,8,1307689618.41799,167370664.046875
2144,2040,8,3234556062.370264,8050600061.5390625
2152,2040,8,598527308.6826346,1235311441.7539062
2160,2040,8,329016220.4845102,697175802.8828125
2168,2040,8,235722458.20967868,265866822.89453125
2176,2040,8,481079185.9977923,1128536606.328125
2184,2040,8,390241332.8226627,414130091.5625
2192,2040,8,662419536.9997396,322766856.7890625
2200,2040,8,1007800540.7994002,1448885271.5234375
2208,2040,8,204736682.48644426,88671232.9609375
2216,2040,8,382028249.9085499,5790393535.625
2224,2040,8,15005725971.655972,5148748241.71875
2232,2040,8,263365907.50866464,1857076404.53125
2240,2040,8,389211252.75048864,231011553.72265625
2248,2040,8,448118626.5384731,1332627628.7460938
2256,2040,8,741885366.1090927,1197318424.34375
2264,2040,8,9071947012.24111,3250361924.875
2272,2040,8,1425704733.8462348,3254001441.6210938
2280,2040,8,2706390990.7607603,1805966371.1796875
2288,2040,8,1398063898.1443505,1028648224.1640625
2296,2040,8,1534618703.1523943,1080482229.6484375
2304,2040,8,1572237443.2888994,1025047843.296875
2312,2040,8,1098265762.143058,785984072.3828125
2320,2040,8,2239166787.5894322,1287288768.1523438
2328,2040,8,1113495908.5575016,798687002.2382812
2336,2040,8,894806115.4666055,728904569.1875
2344,2040,8,649500851.0622824,905042198.34375
2352,2040,8,1094018778.3827863,1392069402.1054688
2360,2040,8,802439152.3002424,956904822.65625
2368,2040,8,6411565326.176974,3070707395.25
2376,2040,8,2307645772.7706738,2021447790.2109375
3288,2040,8,9529315.65251792,1367846527.078125
3296,2040,8,33850758.689463645,114426872.3125
3304,2040,8,33928925.746193595,13617886.62109375
3312,2040,8,34083983.62913824,11453549.724609375
3320,2040,8,35244173.175493896,68390217.4296875
3328,2040,8,39658193.456859976,22445870.26953125
3336,2040,8,36227868.871500246,2191260.947265625
3344,2040,8,35927445.10414134,5315150.5234375
3352,2040,8,90331187.32409033,63995935.84765625
3360,2040,8,433632272.1754068,46436482.072265625
3368,2040,8,431645849.8175919,263666106.28710938
3376,2040,8,431272758.3192032,160180225.05078125
3384,2040,8,431211610.98229975,316649497.2871094
3392,2040,8,433297198.17750657,367173104.1035156
3400,2040,8,1254412818.6876507,967683487.3808594
3408,2040,8,1285901198.019186,1095791882.5625
3416,2040,8,512965357.4434884,880592263.0703125
3424,2040,8,2212358980.157737,1413362148.4335938
3432,2040,8,820538610.5731201,448048111.35546875
3440,2040,8,651867589.1016421,457259793.3222656
3448,2040,8,1017188532.8874857,1443737745.671875
3456,2040,8,1570293224.0914822,954523040.8574219
3464,2040,8,544683502.1870749,939584126.1386719
3472,2040,8,605952298.286906,700235585.4960938
3480,2040,8,537418003.775475,629960569.6171875
3488,2040,8,719100704.0249505,546824447.4492188
3496,2040,8,3091333869.4644957,2071900142.6015625
3504,2040,8,1282069615.6163197,920054948.0742188
3512,2040,8,1876392026.8721635,1252605894.9101562
3520,2040,8,1664891578.1340194,1823029098.4335938
3528,2040,8,1658793687.4157987,139623798.4375
3536,2040,8,894059221.2933686,1147367876.4824219
4704,2040,8,229673456.8939298,21179538.5625
4712,2040,8,173732489.41695902,29112139.046875
4720,2040,8,172954486.27907425,91101558.84375
4728,2040,8,173695386.89053965,122292023.859375
4736,2040,8,173556700.15465692,144865950.046875
4744,2040,8,175094828.50468472,149726172.84375
4752,2040,8,173139317.08930582,140206397.65625
4760,2040,8,202141637.11658454,152697229.40625
4768,2040,8,173055047.95068917,124258483.859375
4776,2040,8,172775575.91080022,96091633.265625
4784,2040,8,173016425.03275207,75907702.375
4792,2040,8,172556957.77849436,206016251.359375
4800,2040,8,184808850.45609385,530258921.0
4808,2040,8,179828527.27164972,153327727.53125
4816,2040,8,175129363.98512626,42788828.765625
4824,2040,8,174434585.6314873,57365683.109375
4832,2040,8,172510682.73495296,23402301.421875
4840,2040,8,172510682.73495296,23950258.875
4848,2040,8,172510682.73495296,23765847.640625
4856,2040,8,172510682.73495296,117840006.078125
4864,2040,8,172510682.73495296,11956269.625
4872,2040,8,172510682.73495296,13955566.296875
4880,2040,8,172510682.73495296,44412435.9375
4888,2040,8,172510682.73495296,40886443.609375
4896,2040,8,172510682.73495296,23180055.359375
4904,2040,8,172510682.73495296,24347883.0625
4912,2040,8,172510682.73495296,24222348.21875
4920,2040,8,172510682.73495296,31277395.671875
4928,2040,8,172510682.73495296,8942141.703125
4936,2040,8,172510682.73495296,157639022.359375
4944,2040,8,172510682.73495296,231377265.328125
4952,2040,8,172510682.73495296,136821192.75
4960,2040,8,172510682.73495296,121743910.15625
4968,2040,8,172510682.73495296,122738691.984375
4976,2040,8,172510682.73495296,123514196.5
4984,2040,8,175726116.88219333,128581009.640625
4992,2040,8,172813244.44330236,129232689.765625
5000,2040,8,172510682.73495296,130459429.875
5008,2040,8,189356309.25366795,136359812.796875
5016,2040,8,173261300.43328497,134378131.703125
5024,2040,8,172520794.55565074,129119223.34375
5032,2040,8,172519027.04211822,129499917.25
5040,2040,8,172510682.73495296,130149777.703125
5048,2040,8,172870310.04479837,130968368.015625
5056,2040,8,172510682.73495296,132016133.59375
5064,2040,8,172556638.08216783,133013167.265625
5072,2040,8,172757312.51811486,133415455.515625
5080,2040,8,176758099.56929007,132032397.71875
5088,2040,8,176384044.35196742,126823563.71875
5096,2040,8,172787948.5788333,120673847.34375
5104,2040,8,176430438.79185745,117542568.796875
5112,2040,8,174472357.14277288,116628659.6875
5120,2040,8,172543843.963312,118887953.609375
5128,2040,8,172824041.8791102,126391073.953125
5136,2040,8,174362682.24949273,130037981.03125
5144,2040,8,174226677.54026166,129804612.21875
5152,2040,8,175278395.2168429,137119097.4375
5160,2040,8,175172695.5743723,128496283.296875
5168,2040,8,173408524.43320632,128247213.0
5176,2040,8,175657457.53267574,131492574.859375
5184,2040,8,176608916.2010926,127574246.109375
5192,2040,8,178567651.88369262,157056151.6875
5200,2040,8,186358945.03358978,129751948.34375
5208,2040,8,184097403.79477316,141384241.1875
5216,2040,8,207519983.32918522,132042805.953125
5224,2040,8,235093383.70084956,83072632.265625
5232,2040,8,205826097.77049494,60926827.625
5240,2040,8,902416070.1160305,3220872001.59375
5248,2040,8,17245805725.541645,9518868232.3125
5256,2040,8,15929540192.810389,14576644893.1875
5264,2040,8,190453919115.88397,97414695028.375
5272,2040,8,364123219.37497264,8055596429.921875
2048,2048,8,84997173.70534313,946091126.484375
2056,2048,8,215342883.90608448,148978563.6171875
2064,2048,8,306882721.57570654,180074268.5859375
2072,2048,8,212062725.75606155,144334136.34375
2080,2048,8,169276900.4417755,396685489.8125
2088,2048,8,167653094.14087364,92643258.9609375
2096,2048,8,189460616.25532115,211420735.53125
2104,2048,8,416645713.8271639,146249901.6328125
2112,2048,8,167180484.3787299,297715008.3828125
2120,2048,8,260386814.7478462,200666424.375
2128,2048,8,547713757.099224,763313526.0
2136,2048,8,370910757.1364302,519211729.5703125
2144,2048,8,4765973033.635664,3484112562.703125
2152,2048,8,1290762069.334809,1997807334.53125
2160,2048,8,391662861.0422329,170820661.640625
2168,2048,8,241174309.40584463,36333981.140625
2176,2048,8,207469866.83203977,338446383.40625
2184,2048,8,244765231.94460577,59998616.390625
2192,2048,8,388968923.78315663,273296492.8828125
2200,2048,8,183877673.87253255,244154909.21875
2208,2048,8,208038882.2860612,4186363.3359375
2216,2048,8,316444462.7867783,945113610.0703125
2224,2048,8,473849718.114668,1486542153.625
2232,2048,8,397029736.044793,764165653.453125
2240,2048,8,348255231.12211716,221460271.8359375
2248,2048,8,187976152.1785972,217785821.5546875
2256,2048,8,174327542.625907,164510596.125
2264,2048,8,802100363.1257772,834156524.890625
2272,2048,8,1212503501.451092,942037102.734375
2280,2048,8,1170072307.2776327,749328986.984375
2288,2048,8,2154123768.2297835,1239477977.828125
2296,2048,8,635734699.2507148,797878087.4375
2304,2048,8,849095028.3751296,537005021.8398438
2312,2048,8,894768069.4199361,978498252.9609375
2320,2048,8,1217564428.3662899,1347432354.8125
2328,2048,8,996570346.2963791,695109318.2382812
2336,2048,8,261107286.39767322,763082557.8164062
